LEAID,chron_absent,enrolled,absent_rate
400001,853.0,5695.0,14.978050921861282
400003,870.0,2427.0,35.84672435105068
400004,109.0,403.0,27.04714640198511
400005,43.0,140.0,30.714285714285715
400016,217.0,1115.0,19.46188340807175
400018,115.0,303.0,37.95379537953795
400019,49.0,289.0,16.955017301038062
400020,30.0,184.0,16.304347826086957
400021,138.0,570.0,24.210526315789473
400022,52.0,99.0,52.52525252525253
400023,558.0,1114.0,50.08976660682226
400026,94.0,525.0,17.904761904761905
400028,39.0,95.0,41.05263157894737
400031,69.0,563.0,12.25577264653641
400033,23.0,235.0,9.787234042553191
400034,42.0,818.0,5.134474327628362
400036,84.0,303.0,27.722772277227726
400037,30.0,297.0,10.1010101010101
400040,31.0,64.0,48.4375
400041,71.0,257.0,27.626459143968873
400043,87.0,168.0,51.78571428571429
400047,222.0,300.0,74.0
400052,109.0,360.0,30.277777777777775
400053,51.0,703.0,7.254623044096728
400054,74.0,495.0,14.949494949494948
400055,32.0,63.0,50.79365079365079
400056,155.0,842.0,18.40855106888361
400057,100.0,120.0,83.33333333333334
400065,505.0,3053.0,16.541107107762855
400067,19.0,29.0,65.51724137931035
400068,38.0,341.0,11.143695014662756
400069,22.0,151.0,14.56953642384106
400070,44.0,440.0,10.0
400071,18.0,252.0,7.142857142857142
400072,77.0,479.0,16.075156576200417
400074,215.0,1359.0,15.82045621780721
400075,30.0,418.0,7.177033492822966
400078,251.0,366.0,68.5792349726776
400079,201.0,326.0,61.65644171779141
400081,78.0,416.0,18.75
400082,487.0,1731.0,28.134026574234543
400089,56.0,151.0,37.086092715231786
400090,32.0,144.0,22.22222222222222
400092,115.0,461.0,24.945770065075923
400093,45.0,229.0,19.65065502183406
400096,20.0,197.0,10.152284263959391
400097,69.0,647.0,10.664605873261205
400098,32.0,327.0,9.785932721712538
400099,12.0,88.0,13.636363636363635
400100,104.0,644.0,16.149068322981368
400102,130.0,358.0,36.312849162011176
400106,62.0,357.0,17.366946778711483
400107,2.0,467.0,0.4282655246252677
400109,131.0,327.0,40.0611620795107
400111,30.0,322.0,9.316770186335404
400112,1183.0,5943.0,19.905771495877502
400113,37.0,74.0,50.0
400115,32.0,236.0,13.559322033898304
400121,155.0,193.0,80.31088082901555
400122,103.0,352.0,29.261363636363637
400126,5.0,92.0,5.434782608695652
400129,46.0,158.0,29.11392405063291
400130,98.0,462.0,21.21212121212121
400131,173.0,776.0,22.29381443298969
400134,126.0,789.0,15.96958174904943
400135,29.0,503.0,5.7654075546719685
400141,15.0,119.0,12.605042016806722
400144,58.0,144.0,40.27777777777778
400145,9.0,37.0,24.324324324324326
400147,7.0,112.0,6.25
400149,330.0,459.0,71.89542483660131
400150,34.0,266.0,12.781954887218044
400151,42.0,158.0,26.582278481012654
400154,76.0,79.0,96.20253164556962
400160,6.0,24.0,25.0
400164,27.0,27.0,100.0
400165,32.0,152.0,21.052631578947366
400181,41.0,408.0,10.049019607843137
400182,63.0,338.0,18.639053254437872
400184,67.0,429.0,15.61771561771562
400185,138.0,716.0,19.273743016759777
400187,9.0,209.0,4.30622009569378
400190,103.0,605.0,17.024793388429753
400191,480.0,1374.0,34.93449781659388
400202,160.0,710.0,22.535211267605636
400205,47.0,295.0,15.932203389830507
